date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
20th July,2025,CANARY ISLANDS,Fuerteventura,Los Mollinas,Surfing (Hydrofoiling),Lacerations to left leg above the knee,PM,Undetermined,,,2025-07-20,July,2020,M,,Unknown,No,Surfing,Unprovoked
19th July,2025,USA,Florida,Jupiter Inlet off Jupiter Beach Palm Beach County,Diving,Lacerations to right forearm,Not stated,Lemon shark,,,2025-07-19,July,2020,M,69,60+,No,Diving/Snorkeling,Unprovoked
18th July,2025,USA,Florida,New Smyrna Beach,Surfing,Lacerations to left foot,1150hrs,Undetermined,,,2025-07-18,July,2020,M,18,18–29,No,Surfing,Unprovoked
15th July,2025,BAHAMAS,Great Abaco Islands,Spanish Cay,Spearfishing,Lacerations to right arm,Not stated,5ft (1.5m) Bull shark,,,2025-07-15,July,2020,M,66,60+,No,Fishing,Unprovoked
6th July ,2025,USA,Massachusetts,Hoicks Hollow Nantucket Beach,Fishing,Injury to leg,Not stated,Unknown,,,2025-07-06,July,2020,M,21,18–29,No,Fishing,Provoked
6th July,2025,USA,Florida,New Smyrna Beach,Surfing,Lacerations to right arm,1500hrs,Undetermined small shall shark,,,2025-07-06,July,2020,M,40,30–44,No,Surfing,Unprovoked
4th July,2025,SOUTH AFRICA,KwaZulu-Natal,Mfazazana Hibberdene,Fishing,Mltiple injuries to body,PM,Undetermined,,,2025-07-04,July,2020,M,37,30–44,Yes,Fishing,Unprovoked
29th June,2025,AUSTRALIA,NSW,Norries Headland Cabarita Beach,Swimming,Serious bites to r bicep r wrist and r leg,1600,2m Bull shark?,,,2025-06-29,June,2020,M,16,0–17,No,Swimming/Wading,Unprovoked
25th June,2025,USA,Long Island NY,Wantagh,Swimming,Lacerations to lower left foot and leg,1615 hrs,Sand Tiger shark,,,2025-06-25,June,2020,F,20,18–29,No,Swimming/Wading,Unprovoked
22nd June,2025,USA,South Carolina,Coligny Beach Hilton Head Island,Swimming,Laceration to lower right leg,1210hrs,Small shark,,,2025-06-22,June,2020,F,,Unknown,No,Swimming/Wading,Unprovoked
17th June,2025,USA,South Carolina,Beach Marker 24 Hilton Head Island,Swimming,Laceration to lower right leg,1200hrs,Not stated,,,2025-06-17,June,2020,F,12,0–17,No,Swimming/Wading,Unprovoked
2025-06-11 00:00:00,2025,USA,Florida,Boca Grande,Snorkeling,Right hand almost torn off,1211 hrs,Bull shark,,,,,2020,F,9,0–17,No,Diving/Snorkeling,Unprovoked
31st May,2025,USA,California,Montara State Beach,Surfing,No injury,1400hrs,Great White,,,2025-05-31,May,2020,M,42,30–44,No,Surfing,Unprovoked
2025-05-29 00:00:00,2025,USA,North Carolina,Sunset Beach,Swimming,Gash to lower left leg,1100hrs,Not stated,,,,,2020,M,26,18–29,No,Swimming/Wading,Unprovoked
2025-05-26 00:00:00,2025,VANUATU,South Santo,Espiitu Santo Island,Swimming,Multiple injuries to body one hand and leg bitten off,pm,Not stated,,,,,2020,M,14,0–17,Yes,Swimming/Wading,Unprovoked
2025-05-15 00:00:00,2025,AUSTRALIA,South Australia,Port Noarlunga,Swimming,Injury to thigh,0945hrs,Not stated,,,,,2020,M,66,60+,No,Swimming/Wading,Unprovoked
2025-05-08 00:00:00,2025,JAMAICA,Montego Bay,Rose Hall beach,Paddling,minor injuries to fingers of left hand,Not stated,Small shark 1m (3ft) long,,,,,2020,F,26,18–29,No,Other/Unknown,Unprovoked
2025-04-21 00:00:00,2025,ISRAEL,Hadera,Olga Beach near Hadera Stream,Diving,Remains recovered several days after the attcks,1500hrs,Dusky sharks,,,,,2020,M,45,45–59,Yes,Diving/Snorkeling,Unprovoked
2025-04-20 00:00:00,2025,MEXICO,Quntana Roo,Chac Mool Beach Cancun,Rescuing female companion,Victim drown and was scavenged by sharks,Not stated,Not Staed,,,,,2020,M,20,18–29,Yes,Other/Unknown,Questionable
2025-04-19 00:00:00,2025,MALDIVES,Kulhudhuffushi City,Haa Dhaalu atoll,snorkeling,Injuries to right shoulder,Not stated,Not stated,,,,,2020,M,30,30–44,No,Diving/Snorkeling,Unprovoked
2025-04-12 00:00:00,2025,USA,Florida,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),Undisclosed,Injuries to right hand and arm,1500hrs,Not stated,,,,,2020,M,,Unknown,No,Other/Unknown,Unprovoked
9th April ,2025,BAHAMAS,Abacos,Green Turtle Cay,Spearfishing,Bite to right shin,1230hrs,1.5m (5ft) Reef shark,,,2025-04-09,April,2020,M,60,60+,No,Fishing,Unprovoked
2025-03-26 00:00:00,2025,AUSTRALIA,WA,Sandtrax Port Beach North Fremantle Perth,Swimming,Bumping to the body,1430hrs,1.5m Tiger shark,,,,,2020,M,30,30–44,No,Swimming/Wading,Unprovoked
2025-03-10 00:00:00,2025,AUSTRALIA,WA,Duke of Orleans Bay,Surfing,Missing body not recovered,1210 hrs,Great White Shark,,,,,2020,M,37,30–44,Yes,Surfing,Unprovoked
2025-03-07 00:00:00,2025,AUSTRALIA,NSW,Gunyah beach Bundeena Port Hacking,Swimming,Serious lacerations above right knee.,1340hrs,Bull shark,,,,,2020,F,56,45–59,No,Swimming/Wading,Unprovoked
2025-02-27 00:00:00,2025,AUSTRALIA,Victoria,Nuns Beach near Portland,Swimming,minor lacerations to left calf,Unknown,Not stated,,,,,2020,M,40,30–44,No,Swimming/Wading,Unprovoked
27-Feb-25,2025,PHILIPPINES,Batangas Resort,Verde Island,SCUBA Diving,both arms severed by sharks after drowning,1300hrs,Not stated,,,,,2020,M,29,18–29,Yes,Diving/Snorkeling,Questionable
2025-02-22 00:00:00,2025,AUSTRALIA,Western Australia,Blasck Wall Reach Swan River Perth,Kayaking,None kayak badly damaged by shark,0815hrs,Not stated,,,,,2020,F,35,30–44,No,Paddling,Unprovoked
2025-02-22 00:00:00,2025,AUSTRALIA,NSW,Off Port Stephens near Newcastle,Fishing was pulled of boat by shark,Body not recovered,1300hrs,Mako shark,,,,,2020,M,58,45–59,Yes,Fishing,Questionable
2025-02-22 00:00:00,2025,AUSTRALIA,Queensland,The Wrecks walking track Moreton Island,Snorkeling,Abdominal and leg injuries,1503hrs,Not stated,,,,,2020,M,29,18–29,No,Diving/Snorkeling,Unprovoked
2025-02-10 00:00:00,2025,BAHAMAS,,Bimini Bay,Swimming,Left foot injured,1830hrs,bull shark,,,,,2020,F,24,18–29,No,Swimming/Wading,Unprovoked
2025-02-10 00:00:00,2025,BAHAMAS,,Bimini Bay,Swimming,Severed archilles tendon artery severed nerves severed.,1830hrs,bull shark,,,,,2020,F,20,18–29,No,Swimming/Wading,Unprovoked
2025-02-07 00:00:00,2025,TURKS AND CAICOS,Near five Cays settlement West Caicos,Thompson Cove Beach,Swimming,both hands bitten off and a bite to left thigh,Unknown,1.8m (6ft) bull shark,,,,,2020,F,55,45–59,No,Swimming/Wading,Unprovoked
2025-02-03 00:00:00,2025,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island,",Swimming,Bites to arm and upper body,1645 hrs,Bull shark,,,,,2020,F,17,0–17,Yes,Swimming/Wading,Unprovoked
2025-01-23 00:00:00,2025,AUSTRALIA,Western Australia,Shipwreck Cove,Bathing,Minor bite to lower body,1711hrs,Not stated,,,,,2020,M,12,0–17,No,Swimming/Wading,Unprovoked
